ID,Length,Masker,Onset,SNR,Speaker,Target,Raw,Responses,N-Listeners,Counts,Confusion,Consistency,Target-Arpabet,Target-IPA,Target-frequency,Confusion-Arpabet,Confusion-IPA,Confusion-frequency,Phoneme-distance
29398,10880,SSN,443064,-4.808,s3,lead,bleed|bleed|bleed|please|lead|bleed|lead|leave|lead|bleed|bleed|bleed|bleed|bring|aiming,bleed|lead|please|leave|bring|aiming,15,8 3 1 1 1 1,bleed,8,! L IY D,! l i d,5.18,! B L IY D,! b l i d,3.7,7
29410,13760,BAB4,137946,-0.514,s3,travelled,travel|travel|travel|traveled|traveled|travel|traveled|travel|travel|travel|traveled|travel|traveled|travel|traveled,travel|travelled,15,9 6,travel,9,! T R AE . V L D,! t ɹ æ . v l d,4.4,! T R AE . V L,! t ɹ æ . v l,4.82,7
29420,8708,SSN,934818,-6.081,s3,dozen,does|doesn't|doesn't|doesn't|dozen|drizzle|dozen|diesel|doesn't|does|dozen|doesn't|doesn't|dozen|doesn't,doesn't|dozen|does|diesel|drizzle,15,7 4 2 1 1,doesn't,7,! D AH . Z N,! d ʌ . z n,4.1,! D AH . Z N T,! d ʌ . z n t,0.0,7
29440,12172,SSN,716415,-6.424,s3,chief,cheat|cheap|cheap|cheap|cheap|chief|cheap|cheat|cheap|cheap|teeth|cheap|teeth|cheat|cheap,cheap|cheat|teeth|chief,15,9 3 2 1,cheap,9,! CH IY F,! tʃ i f,4.79,! CH IY P,! tʃ i p,4.65,10
29442,13440,SSN,545370,-6.503,s3,stately,statement|stately|statement|statement|statement|statement|abstaining|statement|scaling|stately|stabling|stately|staying|statement|stately,statement|stately|staying|stabling|abstaining|scaling,15,7 4 1 1 1 1,statement,7,! S T EY T . L IY,! s t eɪ t . l i,3.62,! S T EY T . M AX N T,! s t eɪ t . m ə n t,4.75,34
29452,13878,SSN,903218,-5.808,s3,chorus,forest|porridge|porous|poorest|chorus|forest|chorus|porous|chorus|forest|forest|pouring|chorus|forest|forest,forest|chorus|porous|porridge|pouring|poorest,15,6 4 2 1 1 1,forest,6,! K AO . R AX S,! k ɔ . ɹ ə s,3.84,! F OH . R IH S T,! f ɒ . ɹ ɪ s t,4.67,37
29453,12800,SSN,264975,-4.663,s3,slogan,slowly|slowly|slow|slowly|sloth|float|several|slowly|slow|slowly|flow|slowly|slowly|slowly|slowly,slowly|slow|sloth|float|flow|several,15,9 2 1 1 1 1,slowly,9,! S L OW . G AX N,! s l oʊ . ɡ ə n,3.65,! S L OW . L IY,! s l oʊ . l i,4.57,27
29455,10580,SSN,30812,-5.339,s3,climb,find|fag|fine|fine|find|find|fight|bank|fine|bank|fine|time|fine|fact|fine,fine|find|bank|fag|fight|time|fact,15,6 3 2 1 1 1 1,fine,6,! K L AY M,! k l aɪ m,4.45,! F AY N,! f aɪ n,5.44,27
29456,11944,SSN,782640,-6.498,s3,lame,name|name|name|name|name|aim|name|play|plane|name|aim|name|plain|name|name,name|aim|plain|play,15,10 2 2 1,name,10,! L EY M,! l eɪ m,3.51,! N EY M,! n eɪ m,5.61,10
29469,9280,BAB4,30589,-2.257,s1,tag,tie|time|tide|tight|time|tide|tug|turn|tide|toad|sing|tide|tide|tide,tide|time|turn|toad|tie|tight|sing|tug,14,6 2 1 1 1 1 1 1,tide,6,! T AE G,! t æ ɡ,4.17,! T AY D,! t aɪ d,4.25,20
